1,20161011,10,소프트,종일,기기,토익,구별,박사,오늘,자취,오피스,공부
1,20161012,10,문과,인하대,학교,정석,사람,공대,입학,오늘,지금,사진
2,20161012,10,문과,인하대,학교,정석,사람,공대,입학,오늘,지금,사진
2,20161013,10,인하대,정석,문과,총장,반성문,홍보,학우,오늘,공부,대학
3,20161013,10,인하대,정석,문과,총장,반성문,홍보,학우,오늘,공부,대학
3,20161014,10,인하대,정석,시험,서울대,서울,인하,중앙대,연고,잠입,공대
4,20161014,10,인하대,정석,시험,서울대,서울,인하,중앙대,연고,잠입,공대
4,20161015,10,인하대,입결,대학,학교,아태,정시,전국,서울대,수학,망대
5,20161015,10,인하대,입결,대학,학교,아태,정시,전국,서울대,수학,망대
5,20161016,10,인하대,전국,대학,서울대,한양대,중앙대,연구,센터,협력,시인
6,20161016,10,인하대,전국,대학,서울대,한양대,중앙대,연구,센터,협력,시인
6,20161017,10,인하대,화학,오늘,시험,일수,순자,중대,족보,이번,시립대
7,20161017,10,인하대,화학,오늘,시험,일수,순자,중대,족보,이번,시립대
7,20161018,10,물리,시험,교수,인하대,공대,시인,건아,중동,서열,공부
8,20161018,10,물리,시험,교수,인하대,공대,시인,건아,중동,서열,공부
8,20161019,10,시험,그리스,점수,사람,문제,평가,학점,교수,상상력,인하대
9,20161019,10,시험,그리스,점수,사람,문제,평가,학점,교수,상상력,인하대
9,20161020,10,인하대,대학,인천대,전국,사람,한양대,학교,서울대,이대,연구
10,20161020,10,인하대,대학,인천대,전국,사람,한양대,학교,서울대,이대,연구
10,20161021,10,인하대,인천대,대학,점수,서울,이유,공대,수시,취업,학교
11,20161021,10,인하대,인천대,대학,점수,서울,이유,공대,수시,취업,학교
11,20161022,10,인하대,서울대,대학,머리,사람,평균,고닉,교수,미용실,분반
12,20161022,10,인하대,서울대,대학,머리,사람,평균,고닉,교수,미용실,분반
12,20161023,10,공대,인하대,학교,문과,사람,행복,정석,친구,공수,아태
13,20161023,10,공대,인하대,학교,문과,사람,행복,정석,친구,공수,아태
13,20161024,10,인하대,전국,서울대,대학,교수,수업,한양대,센터,연구,중앙대
14,20161024,10,인하대,전국,서울대,대학,교수,수업,한양대,센터,연구,중앙대
14,20161025,10,대통령,인천대,시간,학교,박근혜,엘지,신입생,시험,피곤,지문
15,20161025,10,대통령,인천대,시간,학교,박근혜,엘지,신입생,시험,피곤,지문
15,20161026,10,인하대,학교,총장,사람,박근혜,부분,학기,하루,이유,수시
16,20161026,10,인하대,학교,총장,사람,박근혜,부분,학기,하루,이유,수시
16,20161027,10,인하대,시국선언,대학,전국,오늘,서울대,총학,광장,출신,연구
17,20161027,10,인하대,시국선언,대학,전국,오늘,서울대,총학,광장,출신,연구
17,20161028,10,인하대,전국,서울대,센터,대학,연구,출신,사람,평가,협력
18,20161028,10,인하대,전국,서울대,센터,대학,연구,출신,사람,평가,협력
18,20161029,10,인하대,전국,대학,오늘,센터,서울대,연구,내일,이상,취업
19,20161029,10,인하대,전국,대학,오늘,센터,서울대,연구,내일,이상,취업
19,20161030,10,인하대,사람,오늘,축제,전기,때문,학교,인간,카페,워치
20,20161030,10,인하대,사람,오늘,축제,전기,때문,학교,인간,카페,워치
20,20161031,10,인하대,전국,대학,서울대,센터,인하대병원,연구,이상,출신,한국
21,20161031,10,인하대,전국,대학,서울대,센터,인하대병원,연구,이상,출신,한국
21,20161101,10,정석,오늘,사랑,인하대,취업,서울,인하,이용,대학,열람실
22,20161101,10,정석,오늘,사랑,인하대,취업,서울,인하,이용,대학,열람실
22,20161102,10,인하대,대학,전국,서울대,센터,연구,중앙대,출신,협력,한양대
23,20161102,10,인하대,대학,전국,서울대,센터,연구,중앙대,출신,협력,한양대
23,20161103,10,인하대,대학,전국,센터,서울대,연구,중앙대,한양대,학교,출신
24,20161103,10,인하대,대학,전국,센터,서울대,연구,중앙대,한양대,학교,출신
24,20161104,10,인하대,대학,전국,서울대,센터,중앙대,한양대,연구,협력,사업
25,20161104,10,인하대,대학,전국,서울대,센터,중앙대,한양대,연구,협력,사업
25,20161105,10,인하대,전국,대학,서울대,이상,센터,연구,협력,한양대,공동
26,20161105,10,인하대,전국,대학,서울대,이상,센터,연구,협력,한양대,공동
26,20161106,10,인하대,전국,대학,서울대,인하대병원,인하,출신,연구,한국,협력
27,20161106,10,인하대,전국,대학,서울대,인하대병원,인하,출신,연구,한국,협력
27,20161107,10,인하대,대학,전국,인천대,서울대,문과,개인,센터,이과,출신
28,20161107,10,인하대,대학,전국,인천대,서울대,문과,개인,센터,이과,출신
28,20161108,6,대학,고위,고민,출신,시험,출석
