"lhs" "" "rhs" "support" "confidence" "lift"
"[1]" "{}" "=>" "{기간}" 0.709677419354839 0.709677419354839 1
"[2]" "{}" "=>" "{오늘}" 0.870967741935484 0.870967741935484 1
"[3]" "{}" "=>" "{신청}" 0.935483870967742 0.935483870967742 1
"[4]" "{대출}" "=>" "{도움}" 0.129032258064516 1 1.47619047619048
"[5]" "{열람실}" "=>" "{도움}" 0.129032258064516 0.8 1.18095238095238
"[6]" "{열람실}" "=>" "{오늘}" 0.129032258064516 0.8 0.918518518518519
"[7]" "{열람실}" "=>" "{신청}" 0.129032258064516 0.8 0.855172413793103
"[8]" "{선발}" "=>" "{기본}" 0.225806451612903 0.777777777777778 1.72222222222222
"[9]" "{선발}" "=>" "{기간}" 0.225806451612903 0.777777777777778 1.0959595959596
"[10]" "{선발}" "=>" "{오늘}" 0.258064516129032 0.888888888888889 1.02057613168724
"[11]" "{선발}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[12]" "{최대}" "=>" "{소요}" 0.225806451612903 0.777777777777778 1.20555555555556
"[13]" "{최대}" "=>" "{기간}" 0.225806451612903 0.777777777777778 1.0959595959596
"[14]" "{최대}" "=>" "{오늘}" 0.225806451612903 0.777777777777778 0.893004115226337
"[15]" "{최대}" "=>" "{신청}" 0.258064516129032 0.888888888888889 0.950191570881226
"[16]" "{등등}" "=>" "{오늘}" 0.32258064516129 0.909090909090909 1.04377104377104
"[17]" "{등등}" "=>" "{신청}" 0.354838709677419 1 1.06896551724138
"[18]" "{서울}" "=>" "{오늘}" 0.419354838709677 1 1.14814814814815
"[19]" "{서울}" "=>" "{신청}" 0.419354838709677 1 1.06896551724138
"[20]" "{지역}" "=>" "{참고}" 0.354838709677419 0.785714285714286 1.28195488721805
"[21]" "{지역}" "=>" "{소요}" 0.32258064516129 0.714285714285714 1.10714285714286
"[22]" "{지역}" "=>" "{기간}" 0.419354838709677 0.928571428571429 1.30844155844156
"[23]" "{지역}" "=>" "{오늘}" 0.387096774193548 0.857142857142857 0.984126984126984
"[24]" "{지역}" "=>" "{신청}" 0.451612903225806 1 1.06896551724138
"[25]" "{기본}" "=>" "{오늘}" 0.419354838709677 0.928571428571429 1.06613756613757
"[26]" "{기본}" "=>" "{신청}" 0.451612903225806 1 1.06896551724138
"[27]" "{안전}" "=>" "{소요}" 0.354838709677419 0.733333333333333 1.13666666666667
"[28]" "{안전}" "=>" "{도움}" 0.387096774193548 0.8 1.18095238095238
"[29]" "{안전}" "=>" "{기간}" 0.354838709677419 0.733333333333333 1.03333333333333
"[30]" "{안전}" "=>" "{오늘}" 0.483870967741935 1 1.14814814814815
"[31]" "{안전}" "=>" "{신청}" 0.483870967741935 1 1.06896551724138
"[32]" "{지하}" "=>" "{오늘}" 0.419354838709677 0.8125 0.93287037037037
"[33]" "{지하}" "=>" "{신청}" 0.451612903225806 0.875 0.935344827586207
"[34]" "{금요일}" "=>" "{오늘}" 0.516129032258065 1 1.14814814814815
"[35]" "{금요일}" "=>" "{신청}" 0.516129032258065 1 1.06896551724138
"[36]" "{참고}" "=>" "{기간}" 0.580645161290323 0.947368421052632 1.33492822966507
"[37]" "{기간}" "=>" "{참고}" 0.580645161290323 0.818181818181818 1.33492822966507
"[38]" "{참고}" "=>" "{오늘}" 0.580645161290323 0.947368421052632 1.08771929824561
"[39]" "{참고}" "=>" "{신청}" 0.612903225806452 1 1.06896551724138
"[40]" "{소요}" "=>" "{기간}" 0.516129032258065 0.8 1.12727272727273
"[41]" "{기간}" "=>" "{소요}" 0.516129032258065 0.727272727272727 1.12727272727273
"[42]" "{소요}" "=>" "{오늘}" 0.580645161290323 0.9 1.03333333333333
"[43]" "{소요}" "=>" "{신청}" 0.612903225806452 0.95 1.01551724137931
"[44]" "{도움}" "=>" "{오늘}" 0.548387096774194 0.80952380952381 0.929453262786596
"[45]" "{도움}" "=>" "{신청}" 0.612903225806452 0.904761904761905 0.967159277504105
"[46]" "{기간}" "=>" "{오늘}" 0.645161290322581 0.909090909090909 1.04377104377104
"[47]" "{오늘}" "=>" "{기간}" 0.645161290322581 0.740740740740741 1.04377104377104
"[48]" "{기간}" "=>" "{신청}" 0.709677419354839 1 1.06896551724138
"[49]" "{신청}" "=>" "{기간}" 0.709677419354839 0.758620689655172 1.06896551724138
"[50]" "{오늘}" "=>" "{신청}" 0.870967741935484 1 1.06896551724138
"[51]" "{신청}" "=>" "{오늘}" 0.870967741935484 0.931034482758621 1.06896551724138
"[52]" "{열람실,오늘}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[53]" "{신청,열람실}" "=>" "{오늘}" 0.129032258064516 1 1.14814814814815
"[54]" "{선발,최대}" "=>" "{기본}" 0.129032258064516 0.8 1.77142857142857
"[55]" "{기본,최대}" "=>" "{선발}" 0.129032258064516 0.8 2.75555555555556
"[56]" "{선발,최대}" "=>" "{소요}" 0.129032258064516 0.8 1.24
"[57]" "{선발,최대}" "=>" "{기간}" 0.129032258064516 0.8 1.12727272727273
"[58]" "{선발,최대}" "=>" "{오늘}" 0.129032258064516 0.8 0.918518518518519
"[59]" "{선발,최대}" "=>" "{신청}" 0.161290322580645 1 1.06896551724138
"[60]" "{등등,선발}" "=>" "{기본}" 0.129032258064516 1 2.21428571428571
"[61]" "{등등,선발}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[62]" "{선발,지역}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[63]" "{기본,선발}" "=>" "{기간}" 0.161290322580645 0.714285714285714 1.00649350649351
"[64]" "{기간,선발}" "=>" "{기본}" 0.161290322580645 0.714285714285714 1.58163265306122
"[65]" "{기본,선발}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[66]" "{선발,오늘}" "=>" "{기본}" 0.193548387096774 0.75 1.66071428571429
"[67]" "{기본,선발}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[68]" "{선발,신청}" "=>" "{기본}" 0.225806451612903 0.777777777777778 1.72222222222222
"[69]" "{선발,지하}" "=>" "{기간}" 0.129032258064516 1 1.40909090909091
"[70]" "{선발,지하}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[71]" "{선발,참고}" "=>" "{소요}" 0.161290322580645 0.833333333333333 1.29166666666667
"[72]" "{선발,소요}" "=>" "{참고}" 0.161290322580645 0.833333333333333 1.35964912280702
"[73]" "{선발,참고}" "=>" "{기간}" 0.193548387096774 1 1.40909090909091
"[74]" "{기간,선발}" "=>" "{참고}" 0.193548387096774 0.857142857142857 1.3984962406015
"[75]" "{선발,참고}" "=>" "{오늘}" 0.193548387096774 1 1.14814814814815
"[76]" "{선발,오늘}" "=>" "{참고}" 0.193548387096774 0.75 1.22368421052632
"[77]" "{선발,참고}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[78]" "{선발,소요}" "=>" "{기간}" 0.161290322580645 0.833333333333333 1.17424242424242
"[79]" "{기간,선발}" "=>" "{소요}" 0.161290322580645 0.714285714285714 1.10714285714286
"[80]" "{선발,소요}" "=>" "{오늘}" 0.193548387096774 1 1.14814814814815
"[81]" "{선발,오늘}" "=>" "{소요}" 0.193548387096774 0.75 1.1625
"[82]" "{선발,소요}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[83]" "{도움,선발}" "=>" "{기간}" 0.129032258064516 1 1.40909090909091
"[84]" "{도움,선발}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[85]" "{기간,선발}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[86]" "{선발,오늘}" "=>" "{기간}" 0.193548387096774 0.75 1.05681818181818
"[87]" "{기간,선발}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[88]" "{선발,신청}" "=>" "{기간}" 0.225806451612903 0.777777777777778 1.0959595959596
"[89]" "{선발,오늘}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[90]" "{선발,신청}" "=>" "{오늘}" 0.258064516129032 0.888888888888889 1.02057613168724
"[91]" "{기본,최대}" "=>" "{지역}" 0.129032258064516 0.8 1.77142857142857
"[92]" "{기본,지역}" "=>" "{최대}" 0.129032258064516 0.8 2.75555555555556
"[93]" "{지역,최대}" "=>" "{기간}" 0.161290322580645 0.833333333333333 1.17424242424242
"[94]" "{기간,최대}" "=>" "{지역}" 0.161290322580645 0.714285714285714 1.58163265306122
"[95]" "{지역,최대}" "=>" "{오늘}" 0.161290322580645 0.833333333333333 0.95679012345679
