1,20161011,10,소프트,토익,학교,전자회로,박테리아,준비,병신,국회의원,자취,모바일
1,20161012,10,문과,인하대,학교,정석,사람,공대,오늘,입학,공부,지금
2,20161012,10,문과,인하대,학교,정석,사람,공대,오늘,입학,공부,지금
2,20161013,10,정석,인하대,문과,반성문,홍보,총장,학우,오늘,대학,꼬부기
3,20161013,10,정석,인하대,문과,반성문,홍보,총장,학우,오늘,대학,꼬부기
3,20161014,10,인하대,정석,공대,연고,인하,서울대,중앙대,시험,서울,잠입
4,20161014,10,인하대,정석,공대,연고,인하,서울대,중앙대,시험,서울,잠입
4,20161015,10,인하대,입결,대학,학교,아태,정시,전국,이상,학과,서울대
5,20161015,10,인하대,입결,대학,학교,아태,정시,전국,이상,학과,서울대
5,20161016,10,인하대,전국,대학,서울대,한양대,중앙대,연구,센터,협력,이상
6,20161016,10,인하대,전국,대학,서울대,한양대,중앙대,연구,센터,협력,이상
6,20161017,10,인하대,화학,오늘,시험,일수,순자,족보,이번,중대,시립대
7,20161017,10,인하대,화학,오늘,시험,일수,순자,족보,이번,중대,시립대
7,20161018,10,물리,시험,교수,공대,인하대,건아,시인,중동,서열,공부
8,20161018,10,물리,시험,교수,공대,인하대,건아,시인,중동,서열,공부
8,20161019,10,시험,점수,문제,그리스,사람,교수,평가,상상력,학점,일수
9,20161019,10,시험,점수,문제,그리스,사람,교수,평가,상상력,학점,일수
9,20161020,10,인하대,대학,인천대,전국,사람,학교,이대,서울대,한양대,인하
10,20161020,10,인하대,대학,인천대,전국,사람,학교,이대,서울대,한양대,인하
10,20161021,10,인하대,점수,서울,대학,인천대,물리학,공대,교수,수시,학교
11,20161021,10,인하대,점수,서울,대학,인천대,물리학,공대,교수,수시,학교
11,20161022,10,인하대,대학,머리,서울대,교수,고닉,미용실,분반,사람,평균
12,20161022,10,인하대,대학,머리,서울대,교수,고닉,미용실,분반,사람,평균
12,20161023,10,공대,학교,문과,인하대,사람,공수,아태,친구,시험,정석
13,20161023,10,공대,학교,문과,인하대,사람,공수,아태,친구,시험,정석
13,20161024,10,인하대,전국,교수,서울대,대학,수업,한양대,연구,센터,알바
14,20161024,10,인하대,전국,교수,서울대,대학,수업,한양대,연구,센터,알바
14,20161025,10,피곤,박근혜,대통령,시간,엘지,인천대,신입생,시험,학교,대전
15,20161025,10,피곤,박근혜,대통령,시간,엘지,인천대,신입생,시험,학교,대전
15,20161026,10,학교,인하대,박근혜,학기,총장,사람,하루,부분,내년,수업
16,20161026,10,학교,인하대,박근혜,학기,총장,사람,하루,부분,내년,수업
16,20161027,10,인하대,시국선언,전국,대학,오늘,서울대,광장,총학,올해,이상
17,20161027,10,인하대,시국선언,전국,대학,오늘,서울대,광장,총학,올해,이상
17,20161028,10,인하대,전국,서울대,연구,센터,대학,출신,사람,평가,협력
18,20161028,10,인하대,전국,서울대,연구,센터,대학,출신,사람,평가,협력
18,20161029,10,인하대,전국,대학,오늘,센터,이상,연구,서울대,내일,인하대병원
19,20161029,10,인하대,전국,대학,오늘,센터,이상,연구,서울대,내일,인하대병원
19,20161030,10,인하대,사람,오늘,축제,전기,카페,여자,때문,워치,학교
20,20161030,10,인하대,사람,오늘,축제,전기,카페,여자,때문,워치,학교
20,20161031,10,인하대,전국,대학,서울대,센터,인하대병원,이상,연구,사업,협력
21,20161031,10,인하대,전국,대학,서울대,센터,인하대병원,이상,연구,사업,협력
21,20161101,10,정석,오늘,이용,인하,열람실,예비군,사랑,대학,마라톤,취업
22,20161101,10,정석,오늘,이용,인하,열람실,예비군,사랑,대학,마라톤,취업
22,20161102,10,인하대,전국,대학,서울대,센터,연구,중앙대,출신,협력,현대차
23,20161102,10,인하대,전국,대학,서울대,센터,연구,중앙대,출신,협력,현대차
23,20161103,10,인하대,대학,전국,센터,연구,서울대,중앙대,인하대병원,학교,이상
24,20161103,10,인하대,대학,전국,센터,연구,서울대,중앙대,인하대병원,학교,이상
24,20161104,10,인하대,대학,전국,센터,서울대,중앙대,한양대,연구,협력,사업
25,20161104,10,인하대,대학,전국,센터,서울대,중앙대,한양대,연구,협력,사업
25,20161105,10,인하대,전국,대학,서울대,이상,연구,협력,센터,공동,임원
26,20161105,10,인하대,전국,대학,서울대,이상,연구,협력,센터,공동,임원
26,20161106,10,인하대,전국,대학,인하,인하대병원,이상,연구,서울대,화문,협력
27,20161106,10,인하대,전국,대학,인하,인하대병원,이상,연구,서울대,화문,협력
27,20161107,10,인하대,전국,대학,문과,서울대,인천대,센터,개인,올해,이상
28,20161107,10,인하대,전국,대학,문과,서울대,인천대,센터,개인,올해,이상
28,20161108,6,고민,출석,대학,출신,고위,시험
