"sequence" "support"
"1" "<{공대}>" 0.1696
"2" "<{공동}>" 0.1168
"3" "<{공부}>" 0.168
"4" "<{광장}>" 0.1456
"5" "<{교수}>" 0.144
"6" "<{내일}>" 0.1184
"7" "<{대학}>" 0.7568
"8" "<{문과}>" 0.1088
"9" "<{사람}>" 0.4576
"10" "<{사업}>" 0.1968
"11" "<{새끼}>" 0.2992
"12" "<{서울대}>" 0.5488
"13" "<{센터}>" 0.3888
"14" "<{수강}>" 0.1056
"15" "<{수시}>" 0.1536
"16" "<{시간}>" 0.12
"17" "<{시발}>" 0.1248
"18" "<{시험}>" 0.1664
"19" "<{신청}>" 0.1088
"20" "<{여자}>" 0.1248
"21" "<{연구}>" 0.328
"22" "<{오늘}>" 0.5376
"23" "<{이상}>" 0.1408
"24" "<{인하}>" 0.4176
"25" "<{인하대}>" 0.9808
"26" "<{입결}>" 0.216
"27" "<{전국}>" 0.5936
"28" "<{정석}>" 0.2
"29" "<{정시}>" 0.1104
"30" "<{중앙대}>" 0.1968
"31" "<{총학}>" 0.1136
"32" "<{추천}>" 0.1184
"33" "<{출신}>" 0.1952
"34" "<{학교}>" 0.496
"35" "<{학기}>" 0.1296
"36" "<{학년}>" 0.1024
"37" "<{학점}>" 0.1184
"38" "<{한국}>" 0.224
"39" "<{한양대}>" 0.1664
"40" "<{협력}>" 0.1456
"41" "<{대학,협력}>" 0.1456
"42" "<{서울대,협력}>" 0.1328
"43" "<{연구,협력}>" 0.1248
"44" "<{인하대,협력}>" 0.1456
"45" "<{전국,협력}>" 0.1456
"46" "<{인하대,전국,협력}>" 0.1456
"47" "<{연구,전국,협력}>" 0.1248
"48" "<{서울대,전국,협력}>" 0.1328
"49" "<{대학,전국,협력}>" 0.1456
"50" "<{연구,인하대,전국,협력}>" 0.1248
"51" "<{서울대,인하대,전국,협력}>" 0.1328
"52" "<{대학,인하대,전국,협력}>" 0.1456
"53" "<{서울대,연구,인하대,전국,협력}>" 0.1152
"54" "<{대학,연구,인하대,전국,협력}>" 0.1248
"55" "<{대학,서울대,연구,인하대,전국,협력}>" 0.1152
"56" "<{대학,서울대,인하대,전국,협력}>" 0.1328
