"lhs" "" "rhs" "support" "confidence" "lift"
"[1]" "{}" "=>" "{주간}" 0.548387096774194 0.548387096774194 1
"[2]" "{}" "=>" "{학술}" 0.548387096774194 0.548387096774194 1
"[3]" "{}" "=>" "{정석}" 0.580645161290323 0.580645161290323 1
"[4]" "{}" "=>" "{면접}" 0.612903225806452 0.612903225806452 1
"[5]" "{}" "=>" "{필요}" 0.709677419354839 0.709677419354839 1
"[6]" "{}" "=>" "{문의}" 0.774193548387097 0.774193548387097 1
"[7]" "{}" "=>" "{저녁}" 0.806451612903226 0.806451612903226 1
"[8]" "{}" "=>" "{인하대}" 0.870967741935484 0.870967741935484 1
"[9]" "{}" "=>" "{어디}" 0.903225806451613 0.903225806451613 1
"[10]" "{가을}" "=>" "{필요}" 0.225806451612903 1 1.40909090909091
"[11]" "{가을}" "=>" "{어디}" 0.225806451612903 1 1.10714285714286
"[12]" "{어플}" "=>" "{문의}" 0.258064516129032 1 1.29166666666667
"[13]" "{어플}" "=>" "{인하대}" 0.225806451612903 0.875 1.00462962962963
"[14]" "{어플}" "=>" "{어디}" 0.258064516129032 1 1.10714285714286
"[15]" "{당장}" "=>" "{인하대}" 0.225806451612903 0.875 1.00462962962963
"[16]" "{준비}" "=>" "{면접}" 0.258064516129032 0.727272727272727 1.1866028708134
"[17]" "{준비}" "=>" "{필요}" 0.290322580645161 0.818181818181818 1.15289256198347
"[18]" "{준비}" "=>" "{문의}" 0.225806451612903 0.636363636363636 0.821969696969697
"[19]" "{준비}" "=>" "{저녁}" 0.258064516129032 0.727272727272727 0.901818181818182
"[20]" "{준비}" "=>" "{인하대}" 0.32258064516129 0.909090909090909 1.04377104377104
"[21]" "{준비}" "=>" "{어디}" 0.290322580645161 0.818181818181818 0.905844155844156
"[22]" "{기존}" "=>" "{학술}" 0.225806451612903 0.636363636363636 1.16042780748663
"[23]" "{기존}" "=>" "{정석}" 0.225806451612903 0.636363636363636 1.0959595959596
"[24]" "{기존}" "=>" "{면접}" 0.290322580645161 0.818181818181818 1.33492822966507
"[25]" "{기존}" "=>" "{필요}" 0.225806451612903 0.636363636363636 0.896694214876033
"[26]" "{기존}" "=>" "{문의}" 0.32258064516129 0.909090909090909 1.17424242424242
"[27]" "{기존}" "=>" "{저녁}" 0.32258064516129 0.909090909090909 1.12727272727273
"[28]" "{기존}" "=>" "{인하대}" 0.290322580645161 0.818181818181818 0.93939393939394
"[29]" "{기존}" "=>" "{어디}" 0.290322580645161 0.818181818181818 0.905844155844156
"[30]" "{최대}" "=>" "{주간}" 0.32258064516129 0.666666666666667 1.2156862745098
"[31]" "{주간}" "=>" "{최대}" 0.32258064516129 0.588235294117647 1.2156862745098
"[32]" "{최대}" "=>" "{학술}" 0.290322580645161 0.6 1.09411764705882
"[33]" "{학술}" "=>" "{최대}" 0.290322580645161 0.529411764705882 1.09411764705882
"[34]" "{최대}" "=>" "{정석}" 0.32258064516129 0.666666666666667 1.14814814814815
"[35]" "{정석}" "=>" "{최대}" 0.32258064516129 0.555555555555556 1.14814814814815
"[36]" "{최대}" "=>" "{면접}" 0.258064516129032 0.533333333333333 0.870175438596491
"[37]" "{최대}" "=>" "{필요}" 0.387096774193548 0.8 1.12727272727273
"[38]" "{필요}" "=>" "{최대}" 0.387096774193548 0.545454545454545 1.12727272727273
"[39]" "{최대}" "=>" "{문의}" 0.451612903225806 0.933333333333333 1.20555555555556
"[40]" "{문의}" "=>" "{최대}" 0.451612903225806 0.583333333333333 1.20555555555556
"[41]" "{최대}" "=>" "{저녁}" 0.419354838709677 0.866666666666667 1.07466666666667
"[42]" "{저녁}" "=>" "{최대}" 0.419354838709677 0.52 1.07466666666667
"[43]" "{최대}" "=>" "{인하대}" 0.483870967741935 1 1.14814814814815
"[44]" "{인하대}" "=>" "{최대}" 0.483870967741935 0.555555555555556 1.14814814814815
"[45]" "{최대}" "=>" "{어디}" 0.419354838709677 0.866666666666667 0.95952380952381
"[46]" "{주간}" "=>" "{학술}" 0.32258064516129 0.588235294117647 1.07266435986159
"[47]" "{학술}" "=>" "{주간}" 0.32258064516129 0.588235294117647 1.07266435986159
"[48]" "{주간}" "=>" "{정석}" 0.290322580645161 0.529411764705882 0.911764705882353
"[49]" "{정석}" "=>" "{주간}" 0.290322580645161 0.5 0.911764705882353
"[50]" "{주간}" "=>" "{면접}" 0.354838709677419 0.647058823529412 1.05572755417957
"[51]" "{면접}" "=>" "{주간}" 0.354838709677419 0.578947368421053 1.05572755417957
"[52]" "{주간}" "=>" "{필요}" 0.354838709677419 0.647058823529412 0.911764705882353
"[53]" "{필요}" "=>" "{주간}" 0.354838709677419 0.5 0.911764705882353
"[54]" "{주간}" "=>" "{문의}" 0.483870967741935 0.882352941176471 1.13970588235294
"[55]" "{문의}" "=>" "{주간}" 0.483870967741935 0.625 1.13970588235294
"[56]" "{주간}" "=>" "{저녁}" 0.483870967741935 0.882352941176471 1.09411764705882
"[57]" "{저녁}" "=>" "{주간}" 0.483870967741935 0.6 1.09411764705882
"[58]" "{주간}" "=>" "{인하대}" 0.483870967741935 0.882352941176471 1.01307189542484
"[59]" "{인하대}" "=>" "{주간}" 0.483870967741935 0.555555555555556 1.01307189542484
"[60]" "{주간}" "=>" "{어디}" 0.516129032258065 0.941176470588235 1.04201680672269
"[61]" "{어디}" "=>" "{주간}" 0.516129032258065 0.571428571428571 1.04201680672269
"[62]" "{학술}" "=>" "{정석}" 0.354838709677419 0.647058823529412 1.11437908496732
"[63]" "{정석}" "=>" "{학술}" 0.354838709677419 0.611111111111111 1.11437908496732
"[64]" "{학술}" "=>" "{면접}" 0.32258064516129 0.588235294117647 0.959752321981424
"[65]" "{면접}" "=>" "{학술}" 0.32258064516129 0.526315789473684 0.959752321981424
"[66]" "{학술}" "=>" "{필요}" 0.419354838709677 0.764705882352941 1.07754010695187
"[67]" "{필요}" "=>" "{학술}" 0.419354838709677 0.590909090909091 1.07754010695187
"[68]" "{학술}" "=>" "{문의}" 0.483870967741935 0.882352941176471 1.13970588235294
"[69]" "{문의}" "=>" "{학술}" 0.483870967741935 0.625 1.13970588235294
"[70]" "{학술}" "=>" "{저녁}" 0.451612903225806 0.823529411764706 1.02117647058824
"[71]" "{저녁}" "=>" "{학술}" 0.451612903225806 0.56 1.02117647058824
"[72]" "{학술}" "=>" "{인하대}" 0.516129032258065 0.941176470588235 1.08061002178649
"[73]" "{인하대}" "=>" "{학술}" 0.516129032258065 0.592592592592593 1.08061002178649
"[74]" "{학술}" "=>" "{어디}" 0.548387096774194 1 1.10714285714286
"[75]" "{어디}" "=>" "{학술}" 0.548387096774194 0.607142857142857 1.10714285714286
"[76]" "{정석}" "=>" "{필요}" 0.580645161290323 1 1.40909090909091
"[77]" "{필요}" "=>" "{정석}" 0.580645161290323 0.818181818181818 1.40909090909091
"[78]" "{정석}" "=>" "{문의}" 0.419354838709677 0.722222222222222 0.93287037037037
"[79]" "{문의}" "=>" "{정석}" 0.419354838709677 0.541666666666667 0.93287037037037
"[80]" "{정석}" "=>" "{저녁}" 0.516129032258065 0.888888888888889 1.10222222222222
"[81]" "{저녁}" "=>" "{정석}" 0.516129032258065 0.64 1.10222222222222
"[82]" "{정석}" "=>" "{인하대}" 0.548387096774194 0.944444444444444 1.0843621399177
